# HELP kubernetes_cpu_limits 
# TYPE kubernetes_cpu_limits untyped
kubernetes_cpu_limits{namespace="kube-system",owner_kind="daemonset",owner_name="kindnet"} 0.30000000000000004 1648771200000
kubernetes_cpu_limits{namespace="kube-system",owner_kind="daemonset",owner_name="kube-proxy"} 0 1648771200000
kubernetes_cpu_limits{namespace="kube-system",owner_kind="deployment",owner_name="coredns"} 0 1648771200000
kubernetes_cpu_limits{namespace="kube-system",owner_kind="node",owner_name="minikube"} 0 1648771200000
kubernetes_cpu_limits{namespace="kube-system",owner_kind="pod",owner_name="storage-provisioner"} 0 1648771200000
kubernetes_cpu_limits{namespace="namespace-1",owner_kind="deployment",owner_name="init-failed"} 0 1648771200000
kubernetes_cpu_limits{namespace="namespace-1",owner_kind="deployment",owner_name="inside-init"} 0 1648771200000
kubernetes_cpu_limits{namespace="namespace-1",owner_kind="deployment",owner_name="running-init-ok"} 0 1648771200000
kubernetes_cpu_limits{namespace="namespace-1",owner_kind="deployment",owner_name="running-not-ready"} 0 1648771200000
kubernetes_cpu_limits{namespace="namespace-1",owner_kind="pod",owner_name="simple-pod"} 0 1648771200000
kubernetes_cpu_limits{namespace="namespace-2",owner_kind="deployment",owner_name="crash-loop-backoff"} 0 1648771200000
kubernetes_cpu_limits{namespace="namespace-2",owner_kind="deployment",owner_name="image-pull-backoff"} 0 1648771200000
kubernetes_cpu_limits{namespace="namespace-2",owner_kind="deployment",owner_name="running-replicas"} 0 1648771200000
kubernetes_cpu_limits{namespace="namespace-2",owner_kind="job",owner_name="job-failed"} 0 1648771200000
kubernetes_cpu_limits{namespace="namespace-2",owner_kind="job",owner_name="job-running"} 0 1648771200000
kubernetes_cpu_limits{namespace="namespace-2",owner_kind="job",owner_name="job-succeeded"} 0 1648771200000
kubernetes_cpu_limits{namespace="namespace-3",owner_kind="deployment",owner_name="running-ready"} 0 1648771200000
kubernetes_cpu_limits{namespace="namespace-3",owner_kind="deployment",owner_name="unschedulable"} 0 1648771200000
# 200m + 200m (2 containers per pod) * 3 (3 replicas) = 1.2
kubernetes_cpu_limits{namespace="namespace-3",owner_kind="replicaset",owner_name="running-replicaset"} 1.2 1648771200000
# HELP kubernetes_cpu_requests 
# TYPE kubernetes_cpu_requests untyped
kubernetes_cpu_requests{namespace="kube-system",owner_kind="daemonset",owner_name="kindnet"} 0.30000000000000004 1648771200000
kubernetes_cpu_requests{namespace="kube-system",owner_kind="daemonset",owner_name="kube-proxy"} 0 1648771200000
kubernetes_cpu_requests{namespace="kube-system",owner_kind="deployment",owner_name="coredns"} 0.1 1648771200000
kubernetes_cpu_requests{namespace="kube-system",owner_kind="node",owner_name="minikube"} 0.65 1648771200000
kubernetes_cpu_requests{namespace="kube-system",owner_kind="pod",owner_name="storage-provisioner"} 0 1648771200000
kubernetes_cpu_requests{namespace="namespace-1",owner_kind="deployment",owner_name="init-failed"} 0 1648771200000
kubernetes_cpu_requests{namespace="namespace-1",owner_kind="deployment",owner_name="inside-init"} 0 1648771200000
kubernetes_cpu_requests{namespace="namespace-1",owner_kind="deployment",owner_name="running-init-ok"} 0 1648771200000
kubernetes_cpu_requests{namespace="namespace-1",owner_kind="deployment",owner_name="running-not-ready"} 0 1648771200000
kubernetes_cpu_requests{namespace="namespace-1",owner_kind="pod",owner_name="simple-pod"} 0 1648771200000
